정류장번호,위도,경도,도시명
1451,35.04680833,126.999275,광주광역시
1452,35.04697222,126.999275,광주광역시
1453,35.06047222,126.9977639,광주광역시
1454,35.06032778,126.9978028,광주광역시
1455,35.12844,126.930521,광주광역시
1456,35.128587,126.930109,광주광역시
1457,35.20688611,126.8940639,광주광역시
1458,35.20650556,126.8942,광주광역시
1459,35.18598889,126.9051194,광주광역시
1460,35.18496389,126.905675,광주광역시
1461,35.18560278,126.9055306,광주광역시
1463,35.14695278,126.7903,광주광역시
1464,35.14681944,126.7903972,광주광역시
1465,35.18426944,126.9071167,광주광역시
1466,35.18412778,126.9071028,광주광역시
1467,35.16610278,126.9143333,광주광역시
1468,35.16602222,126.9138167,광주광역시
1469,35.15745278,126.8748389,광주광역시
1470,35.15765556,126.8737639,광주광역시
1471,35.19533611,126.8767167,광주광역시
1472,35.19524722,126.8769611,광주광역시
1473,35.179823,126.814517,광주광역시
1474,35.16178056,126.9076806,광주광역시
1475,35.13250556,126.9253889,광주광역시
1476,35.20349167,126.8940472,광주광역시
1477,35.20423611,126.8942083,광주광역시
1478,35.20686667,126.9011972,광주광역시
1479,35.20986111,126.9012889,광주광역시
1480,35.18143333,126.8954667,광주광역시
1481,35.18176944,126.8954139,광주광역시
1482,35.17905833,126.9175139,광주광역시
1483,35.17892778,126.9186111,광주광역시
1484,35.15431389,126.8766333,광주광역시
1485,35.157798,126.865013,광주광역시
1486,35.157961,126.865353,광주광역시
1487,35.15393611,126.8767472,광주광역시
1489,35.20240278,126.8008556,광주광역시
1490,35.20220278,126.800825,광주광역시
1491,35.15095833,126.8607778,광주광역시
1493,35.15104444,126.8632194,광주광역시
1494,35.15737214,126.9357588,광주광역시
1495,35.15765278,126.9354028,광주광역시
1497,35.15968611,126.8631528,광주광역시
1498,35.21146944,126.8486333,광주광역시
1499,35.21136667,126.8488083,광주광역시
1500,35.22343889,126.8242667,광주광역시
1501,35.21753611,126.8387611,광주광역시
1502,35.126802,126.789745,광주광역시
1503,35.126949,126.789686,광주광역시
1504,35.12598611,126.85535,광주광역시
1505,35.19906039,126.8382812,광주광역시
1506,35.125806,126.855433,광주광역시
1507,35.22330556,126.8242139,광주광역시
1508,35.21011111,126.8512806,광주광역시
1509,35.21008333,126.8514722,광주광역시
1510,35.13170833,126.9359444,광주광역시
1511,35.13208611,126.9353444,광주광역시
1512,35.19679444,126.6664528,광주광역시
1513,35.05441111,126.976375,광주광역시
1514,35.03333611,127.0699083,광주광역시
1515,35.03342778,127.070025,광주광역시
1516,35.059625,126.9892583,광주광역시
1517,35.05961389,126.9893861,광주광역시
1518,35.06040278,126.9893639,광주광역시
1520,35.05300278,126.9712556,광주광역시
1521,35.06338611,126.9801111,광주광역시
1522,35.063325,126.9800056,광주광역시
1523,35.06035833,126.9940944,광주광역시
1524,35.06051389,126.9941944,광주광역시
1525,35.05960278,126.9825694,광주광역시
1526,35.052375,126.9622583,광주광역시
1527,35.031975,127.01455,광주광역시
1528,35.06039722,126.9914917,광주광역시
1529,35.06130556,126.9837444,광주광역시
1532,35.05919722,127.0019667,광주광역시
1533,35.05906389,127.0020667,광주광역시
1534,35.06040278,126.9996333,광주광역시
1535,35.06024722,127.00035,광주광역시
1536,35.05699444,126.9797083,광주광역시
1537,35.05562778,126.9790056,광주광역시
1538,35.05568889,126.9831333,광주광역시
1539,35.15453333,126.9695417,광주광역시
1540,35.154375,126.9696333,광주광역시
1541,35.133046,126.948146,광주광역시
1542,35.14359167,126.8740167,광주광역시
1543,35.13895278,126.8729861,광주광역시
1544,35.13919444,126.8731694,광주광역시
1545,35.15226111,126.8776778,광주광역시
1546,35.15203611,126.8779306,광주광역시
1549,35.15002222,126.8782583,광주광역시
1550,35.15022778,126.8782722,광주광역시
1551,35.147525,126.8842556,광주광역시
1552,35.14770833,126.8848583,광주광역시
1553,35.14533889,126.8821639,광주광역시
1554,35.14548056,126.8822111,광주광역시
1556,35.1553,126.8831556,광주광역시
1557,35.155025,126.883617,광주광역시
1558,35.19483611,126.8046472,광주광역시
1559,35.20045556,126.795325,광주광역시
1560,35.17813889,126.7173806,광주광역시
1561,35.14484722,126.8646306,광주광역시
1563,35.16844167,126.9132194,광주광역시
1564,35.168525,126.9135806,광주광역시
1566,35.19586667,126.7508556,광주광역시
1568,35.17992778,126.809575,광주광역시
1569,35.180224,126.807363,광주광역시
1571,35.14011944,126.8585389,광주광역시
1572,35.140561,126.858826,광주광역시
1573,35.15608056,126.8551278,광주광역시
1574,35.15606667,126.8548528,광주광역시
1576,35.14364444,126.9071028,광주광역시
1577,35.20145,126.8743139,광주광역시
1578,35.20115833,126.8747639,광주광역시
1579,35.14264167,126.8400611,광주광역시
1580,35.19656944,126.7993444,광주광역시
1581,35.20249167,126.9353583,광주광역시
1583,35.14123056,126.8371917,광주광역시
1584,35.17182222,126.8691333,광주광역시
1585,35.12583056,126.7873694,광주광역시
1589,35.15212222,126.7807472,광주광역시
1591,35.15175278,126.7770389,광주광역시
1592,35.15073611,126.7727361,광주광역시
1593,35.149375,126.7685389,광주광역시
1594,35.15121111,126.7565889,광주광역시
1595,35.1517,126.7502333,광주광역시
1596,35.154352,126.740175,광주광역시
1598,35.15508889,126.7392472,광주광역시
1599,35.15833611,126.7381861,광주광역시
1601,35.16273056,126.7399028,광주광역시
1603,35.15289167,126.7358889,광주광역시
1604,35.15306944,126.731525,광주광역시
1605,35.168,126.7293889,광주광역시
1606,35.17264722,126.7279861,광주광역시
1609,35.15659722,126.7219917,광주광역시
1610,35.15895833,126.7163917,광주광역시
1611,35.15967222,126.7111278,광주광역시
1612,35.16091667,126.7078778,광주광역시
1613,35.16285278,126.7012389,광주광역시
1615,35.1667,126.7009806,광주광역시
1616,35.17003611,126.7000194,광주광역시
1618,35.16354722,126.6935944,광주광역시
1619,35.16166667,126.6848167,광주광역시
1620,35.16243889,126.6789028,광주광역시
1621,35.16320556,126.6746833,광주광역시
1622,35.16030833,126.6719306,광주광역시
1623,35.15732778,126.6721056,광주광역시
1625,35.15043889,126.6633167,광주광역시
1626,35.15002778,126.6590972,광주광역시
1630,35.1374,126.6733722,광주광역시
1631,35.13837778,126.6671167,광주광역시
1632,35.13640833,126.6635528,광주광역시
1633,35.13746667,126.6614722,광주광역시
1634,35.13898056,126.6599389,광주광역시
1635,35.14242222,126.6607861,광주광역시
1636,35.14863611,126.6592444,광주광역시
